code,name,region
873,Eastern diamondback rattlesnake,China
874,"Stork, european",Bangladesh
875,"Flamingo, greater",Marshall Islands
876,"Magpie, australian",China
877,Bobcat,China
878,Red phalarope,Yemen
879,Eurasian badger,Kazakhstan
880,"Plover, three-banded",China
881,Common ringtail,Luxembourg
882,"Gull, pacific",Taiwan
883,European shelduck,Poland
884,"Eagle, long-crested hawk",Greece
885,Russian dragonfly,Poland
886,"Toucan, white-throated",Sweden
887,"Admiral, indian red",Czech Republic
888,"Fox, savanna",Peru
889,Common duiker,United States
890,"Pelican, eastern white",Yemen
891,Eastern diamondback rattlesnake,United States
892,"Goose, spur-winged",Azerbaijan
893,Coqui partridge,Japan
894,"Baboon, yellow",United Kingdom
895,"Beaver, north american",Brazil
896,"Seal, southern elephant",Ukraine
897,"Weaver, white-browed sparrow",South Korea
898,Hoary marmot,China
899,Swallow-tail gull,France
900,Common turkey,Central African Republic
901,Crab (unidentified),Belarus
902,Bush dog,Vietnam
903,Sidewinder,Reunion
904,Little heron,Greece
905,"Ox, musk",Philippines
906,"Phalarope, red",Mexico
907,Banded mongoose,China
908,Burmese brown mountain tortoise,Portugal
909,Little cormorant,France
910,Asian water dragon,China
911,Common eland,Indonesia
912,"Cat, tiger",Mexico
913,Horned puffin,China
914,Common eland,China
915,Brolga crane,Serbia
916,Denham's bustard,Brazil
917,Laughing kookaburra,Indonesia
918,Fat-tailed dunnart,Greece
919,Small Indian mongoose,Indonesia
920,"Stork, saddle-billed",Portugal
921,"Snake, tiger",Yemen
922,"Quail, gambel's",Indonesia
923,King cormorant,Indonesia
924,"Lion, african",Indonesia
925,Blue racer,China
926,Common langur,United States
927,"Turtle, long-necked",Paraguay
928,"Porcupine, crested",Kuwait
929,"Parakeet, rose-ringed",Egypt
930,Green vine snake,China
931,Red hartebeest,France
932,Crested barbet,China
933,Red-billed hornbill,China
934,Ocelot,Indonesia
935,"Dolphin, common",Canada
936,"Cliffchat, mocking",Syria
937,Old world fruit bat (unidentified),South Africa
938,"Squirrel, richardson's ground",China
939,"Turaco, violet-crested",Bahamas
940,Kafue flats lechwe,Portugal
941,"Grouse, greater sage",Cambodia
942,Blue shark,Argentina
943,"Bulbul, black-fronted",Italy
944,"Cormorant, great",Denmark
945,"Lion, asian",Vietnam
946,"Godwit, hudsonian",France
947,Black and white colobus,Peru
948,"Squirrel, richardson's ground",Indonesia
949,Common dolphin,China
950,"Rat, arboral spiny",Yemen
951,Uinta ground squirrel,Sweden
952,Rufous tree pie,Peru
953,"Turtle, snake-necked",Australia
954,"Racer, american",Thailand
955,Nilgai,Russia
956,Palm squirrel,United States
957,Red howler monkey,China
958,"Raven, cape",Poland
959,"Woodpecker, downy",China
960,"Squirrel, indian giant",Brazil
961,"Shelduck, common",Serbia
962,"Otter, african clawless",Thailand
963,Yellow-billed hornbill,Indonesia
964,Collared lemming,Indonesia
965,"Bird, bare-faced go away",Russia
966,"Sandgrouse, yellow-throated",United States
967,Common turkey,Canada
968,Yellow-necked spurfowl,Portugal
969,"Otter, african clawless",Sweden
970,Swallow-tail gull,Russia
971,Nelson ground squirrel,Brazil
972,Collared lemming,China
973,Mexican wolf,Czech Republic
974,"Sifaka, verreaux's",Indonesia
975,Python (unidentified),Brazil
976,Bald eagle,Tokelau
977,Indian giant squirrel,Indonesia
978,Common rhea,Laos
979,Darwin ground finch (unidentified),Ukraine
980,Pine squirrel,Kazakhstan
981,"Otter, oriental short-clawed",Portugal
982,Bennett's wallaby,Indonesia
983,Grey heron,China
984,"Colobus, black and white",Canada
985,"Waterbuck, defassa",Malaysia
986,"Colobus, magistrate black",Brazil
987,"Ass, asiatic wild",Cuba
988,"Gecko, bent-toed",Philippines
989,"Avocet, pied",Russia
990,Azara's zorro,Tunisia
991,"Macaque, bonnet",Sweden
992,"Turkey, australian brush",China
993,Two-toed tree sloth,China
994,Springhare,Azerbaijan
995,Eagle owl (unidentified),Argentina
996,Lesser flamingo,Philippines
997,"Sparrow, rufous-collared",China
998,Lava gull,Sudan
999,"Goldeneye, barrows",Vietnam
1000,Great white pelican,Indonesia
